Puesto,Empresa,Detalles,Enlace
Simulation Software Engineer (TADVS4),Airbus,18/03/2026 Nueva |  | Madrid | Arquitecto TIC,https://www.tecnoempleo.com/simulation-software-engineer-tadvs4-airbus/c-python/rf-7f5413c5322293e1a345
"Data Engineer I, Ring Data Science and Engineering",Amazon,18/03/2026 Nueva |  | Madrid | Big Data,https://www.tecnoempleo.com/data-engineer-i-ring-data-science-and-engineering-/python-kornshell/rf-f1ce17da722e63c7074b
Backend Junior,Social You,18/03/2026 Actualizada |  | Barcelona (Híbrido) | Analista Programador | 24.000€ - 30.000€ b/a,https://www.tecnoempleo.com/backend-junior-social-you/python-sql/rf-ab021b25f2a4c344f648
Especialista en Automatización IA Junior,Social You,18/03/2026 Actualizada |  | Barcelona (Híbrido) | Inteligencia Artificial/Machine Learning | 24.000€ - 30.000€ b/a,https://www.tecnoempleo.com/especialista-en-automatizacion-ia-junior-social-yo/rapa-low-code/rf-91b51a5ec269b311b240
Ingeniero/a de IA,Inkoova,18/03/2026 Actualizada |  | Barcelona (Híbrido) | Analista Programador,https://www.tecnoempleo.com/ingeniero-ia-inkoova/python-go-golang/rf-574c197ba28a03fdb24e
Ansible Automation Developer,Serem,18/03/2026 Actualizada |  | Madrid (Híbrido) y otras | DevOps,https://www.tecnoempleo.com/ansible-automation-developer-serem/awx-gitlab/rf-eea21e152272635fbc49
Arquitecto/a de Datos (GCP),Arelance,18/03/2026 Actualizada |  | 100% remoto | Arquitecto TIC | 36.000€ - 54.000€ b/a,https://www.tecnoempleo.com/arquitecto-datos-gcp-arelance/python-big-query/rf-983f1d5012f3c335b547
Ingeniero C/C++ (sistemas distribuidos),Arelance,18/03/2026 Actualizada |  | 100% remoto | Analista Programador | 42.000€ - 48.000€ b/a,https://www.tecnoempleo.com/ingeniero-c-c-sistemas-distribuidos-arelance/c-python/rf-8adb179c92d293421c45
Data Analyst Junior,Amazon,18/03/2026 Actualizada |  | Barcelona | Analista,https://www.tecnoempleo.com/data-analyst-junior-amazon/office-sql/rf-8f28109e524c2388f547
Windows Administrator,Social You,18/03/2026 Actualizada |  | Barcelona (Híbrido) | Administrador | 39.000€ - 54.000€ b/a,https://www.tecnoempleo.com/windows-administrator-social-you/zabbix-nagios/rf-52fd1ba3f2ab937dd748
Desarrollador/a Backend,Talan,18/03/2026 Actualizada |  | Málaga | Programador,https://www.tecnoempleo.com/desarrollador-backend-talan/microservicios-apis/rf-05821cbb82ce4329204e
FULL STACK SOFTWARE ENGINEER,Aubay,18/03/2026 Actualizada |  | Barcelona (Híbrido) | Programador,https://www.tecnoempleo.com/full-stack-software-engineer-aubay/python-react/rf-932d1757a2fe83b2de4d
DevOps Engineer,Aubay,18/03/2026 Actualizada |  | Barcelona (Híbrido) | DevOps,https://www.tecnoempleo.com/devops-engineer-aubay/aws-cyberark/rf-2ccf1c87d2f253e5d84d
Ing Bank - Beca Data Analyst,Randstad ES,18/03/2026 Actualizada |  | Madrid | Analista Programador | Contrato prácticas,https://www.tecnoempleo.com/ing-bank-beca-data-analyst-randstad-es/php-sql/rf-b226112a626db37a1847
Desarrollador/a Fullstack IA,Randstad ES,18/03/2026 Actualizada |  | Madrid | DevOps,https://www.tecnoempleo.com/desarrollador-fullstack-ia-randstad-es/azure-typescript/rf-56ae12d1b272b3b2fe4a
FULL STACK SOFTWARE ENGINEER,Aubay,18/03/2026 Actualizada |  | Barcelona (Híbrido) | Programador,https://www.tecnoempleo.com/full-stack-software-engineer-aubay/python-react/rf-4d411b03d2d82395b649
HPC Cloud Engineer,AstraZeneca,18/03/2026 Actualizada |  | Barcelona | DevOps,https://www.tecnoempleo.com/hpc-cloud-engineer-astrazeneca/aws-linux/rf-be781db72260a322424f
Desarrollador de automatización e IA,Campus Education Spain,18/03/2026 Actualizada |  | Pontevedra (Híbrido) y otras | Analista Programador | 21.000€ - 30.000€ b/a,https://www.tecnoempleo.com/desarrollador-automatizacion-e-ia-campus-education/python-api-rest/rf-f1751321d27773c0ce41
Desarrollador/a Senior Genesys Cloud,CMV Consultores,18/03/2026 Actualizada |  | 100% remoto | Programador,https://www.tecnoempleo.com/desarrollador-senior-genesys-cloud-cmv-consultores/genesys-cloud-apis/rf-39761f4c92ccd3ee8946
Especialista SOC - Data/Analytics/SIEM,Baoss,18/03/2026 Actualizada |  | Madrid y otras | Analista,https://www.tecnoempleo.com/especialista-soc-data-analytics-siem-baoss/xdr-xsiam-sentinel/rf-77c316720218033a4c4e
Ingeniero/a de Software Genesys Cloud,CMV Consultores,18/03/2026 Actualizada |  | 100% remoto | Programador,https://www.tecnoempleo.com/ingeniero-software-genesys-cloud-cmv-consultores/java-python/rf-199a118cc21493d29e4e
Data Scientist - Optimización,Baoss,18/03/2026 Actualizada |  | Barcelona y otras | Analista,https://www.tecnoempleo.com/data-scientist-optimizacion-baoss/python-pandas/rf-400213a3f26213b57849
Agentic AI Engineer,EY,18/03/2026 Actualizada |  | Málaga (Híbrido) | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/agentic-ai-engineer-ey/python-dify/rf-e3d31ad6e299a3365d45
Senior DevOps Engineer (SRE),EPAM,18/03/2026 Actualizada |  | Málaga (Híbrido) | DevOps,https://www.tecnoempleo.com/senior-devops-engineer-sre-epam/powershell-python/rf-b0dd1de752266313d642
Genesys Cloud Engineer,Akkodis,18/03/2026 Actualizada |  | 100% remoto | Programador,https://www.tecnoempleo.com/genesys-cloud-engineer-akkodis/rest-api-javascript/rf-b27010af025143da5648
Ingeniero/a de Firmware Embebido,HAYS,18/03/2026 Actualizada |  | Valencia | Electrónica,https://www.tecnoempleo.com/ingeniero-firmware-embebido-hays/python/rf-b3b31b7852f063410245
Data Scientist,BNP Paribas,18/03/2026 Actualizada |  | Madrid (Híbrido) | Big Data,https://www.tecnoempleo.com/data-scientist-bnp-paribas/python-excel/rf-71341ebc8272e3679e42
Desarrollador Frontend Angular,Randstad ES,18/03/2026 Actualizada |  | Madrid | Desarrollador Web,https://www.tecnoempleo.com/desarrollador-frontend-angular-randstad-es/typescript-gis/rf-32d11ab6e2c6137dbc42
Global Data Scientist,Nestle,18/03/2026 Actualizada |  | Barcelona (Híbrido) | Analista,https://www.tecnoempleo.com/global-data-scientist-nestle/python-sql/rf-765f1d3f522df3414844
Senior Data engineer,Krell Consulting & Training,18/03/2026 Actualizada |  | Barcelona (Híbrido) | Big Data,https://www.tecnoempleo.com/senior-data-engineer-krell-consulting-training/python-sql/rf-8db715d3320ab323304e
FullStack Developer,Sopra Steria,18/03/2026 Actualizada |  | Sevilla | Programador,https://www.tecnoempleo.com/fullstack-developer-sopra-steria/python-vuejs/rf-d3041376f268634cb843
Sr. Genesys Developer - Salesforce,Cognizant Technology Solutions,18/03/2026 Actualizada |  | Madrid | Programador,https://www.tecnoempleo.com/sr-genesys-developer-salesforce-cognizant-technolo/genesys-cloud-rest-apis/rf-83d21eefd2aff325f747
"Data Scientist, Amazon Books",Amazon,18/03/2026 Actualizada |  | Madrid | Analista,https://www.tecnoempleo.com/data-scientist-amazon-books-amazon/machine-learning-sql/rf-72d016ab223193f0f446
Data Scientist,EY,18/03/2026 Actualizada |  | Málaga | Big Data,https://www.tecnoempleo.com/data-scientist-ey/python-tensorflow/rf-d4a91e8e928263cf7e41
Senior AI Engineer with Italian,EY,18/03/2026 Actualizada |  | Málaga | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/senior-ai-engineer-with-italian-ey/python-mlops/rf-8fe718d432cca3996045
GenAI Engineer - EY GDS Spain - Hybrid,EY,18/03/2026 Actualizada |  | Málaga | Inteligencia Artificial/Machine Learning,https://www.tecnoempleo.com/genai-engineer-ey-gds-spain-hybrid-ey/python-langchain/rf-4f501bb7d20313c2be46
AI Full Stack Developer,HAYS,18/03/2026 Actualizada |  | 100% remoto | Programador,https://www.tecnoempleo.com/ai-full-stack-developer-hays/python-django/rf-9baa1efdd2e1e3610b44
Beca Data Engineer,Randstad ES,18/03/2026 Actualizada |  | Madrid | Big Data | Contrato prácticas,https://www.tecnoempleo.com/beca-data-engineer-randstad-es/python-talend/rf-81e31bf5126293c4d248
Automation Zabbix Engineer,Serem,17/03/2026 |  | Madrid (Híbrido) y otras | Administrador,https://www.tecnoempleo.com/automation-zabbix-engineer-serem/ansible-python/rf-668a1fa2120693556841
Programadores Power Platform,Seltime,17/03/2026 |  | 100% remoto | Analista Programador | 30.000€ - 36.000€ b/a,https://www.tecnoempleo.com/programadores-power-platform-seltime/power-automate-power-apps/rf-e9591a7fd22c23b2e44c
Especialista en HashiCorp Vault,Baoss,17/03/2026 |  | Madrid | DevOps | 39.000€ - 42.000€ b/a,https://www.tecnoempleo.com/especialista-en-hashicorp-vault-baoss/terraform-hashicorp-vault/rf-cc631acad29da3134e46
Analista de Datos,Cajamar Tecnología,17/03/2026 |  | Almería (Híbrido) y otras | Analista,https://www.tecnoempleo.com/analista-datos-cajamar-tecnologia/sql-python/rf-b7af119422e53338c049
Desarrollador SW Vision artificial,Michael Page,17/03/2026 |  | Gipuzkoa | Programador,https://www.tecnoempleo.com/desarrollador-sw-vision-artificial-michael-page/python-c/rf-7b9912c97225933c2b4a
Desarrollador/a Inteligencia Artificial,CMV Consultores,17/03/2026 |  | Barcelona | Inteligencia Artificial/Machine Learning | 27.000€ - 36.000€ b/a,https://www.tecnoempleo.com/desarrollador-inteligencia-artificial-cmv-consulto/dialogflow-javascript/rf-1a5019f6c2584375b44f
Programador/a Cobol/CICS/DB2,PSS,17/03/2026 |  | Madrid (Híbrido) | Analista Programador,https://www.tecnoempleo.com/programador-cobol-cics-db2-pss/mainframe-z-os/rf-032d1c00b21733b4564f
Analista - Programador/a,Alcampo,17/03/2026 |  | Zaragoza (Híbrido) | Analista,https://www.tecnoempleo.com/analista-programador-a-alcampo/java-python/rf-5d531fdf521063720e44
Simulation Software Engineer,Airbus,17/03/2026 |  | Madrid | Arquitecto TIC,https://www.tecnoempleo.com/simulation-software-engineer-airbus/c-python/rf-5dbd10fbe22de3eaec44
ISR Software Engineer,Airbus,17/03/2026 |  | Madrid | Electrónica,https://www.tecnoempleo.com/isr-software-engineer-airbus/c-c/rf-8f091d1272cef3493844
Analista Programador Proyectos de Transformación,Randstad ES,17/03/2026 |  | Madrid | Analista Programador,https://www.tecnoempleo.com/analista-programador-proyectos-transformacion-rand/python-java/rf-be2c1ebb32e4d336c34c
Desarrollador Senior en Spark,Deloitte,17/03/2026 |  | Madrid (Híbrido) | Analista,https://www.tecnoempleo.com/desarrollador-senior-en-spark-deloitte/pyspark-scala/rf-39e412f622fce376cb4d
Data Scientist / Artificial Intelligence,Airbus,17/03/2026 |  | Albacete | Analista Programador,https://www.tecnoempleo.com/data-scientist-artificial-intelligence-airbus/python-pandas/rf-24ef166522d1c32c2d40
Consultor/a Junior IT - Septiembre,Deloitte,17/03/2026 |  | Zaragoza | Consultor,https://www.tecnoempleo.com/consultor-junior-it-septiembre-deloitte/dynamics-365-business-central/rf-b8771e9dd2e7037bf546
Scientist Responsible AI,Santander,17/03/2026 |  | Madrid | Big Data,https://www.tecnoempleo.com/scientist-responsible-ai-santander/python-pytorch/rf-4d0818057251d3a2d745
